e,n,detail
2680153,1246146,Tiegermücke. die uneinigkeit dominiert unseren teamanlass ;-)
2679819,1253096,"Buchsbaumzünsler?!? <br/> Sehr geehrte Damen und Herren Beim Spinnen suchen im Gebüsch sind mir am Sonntag, 23.8.20 (vor neun Tagen) diese Netze mit den vielen bräunlichen Krümeln aufgefallen. Meine Schwester meinte, dass dies der Kot der Buchsbaumzünsler-Raupe sei. Die zerstören bei Befall mit der Zeit das ganze Gebüsch... ! Falls sie noch mehr Fotos, u.a. des Schädlings benötigen, müsste ich nochmals schauen gehen und weitere Fotos machen/evtl. Schädling einfangen"
2680183,1246115,Wir (Ugz Ernährung) sind dir noch ein besseres Foto schuldig bezüglich Tiegermückenfrage. Ich hoffe diese sind besser. <br/>  <br/> Grüsse
2683494,1253143,Tiegermücke
2681436,1247930,Ich habe ungefähr 15 von diese seit Juli innerhalb meiner Wohnung gefunden. Sind sie Waldschaben oder Kakerlaken? Lg
2683153,1247919,"Mehrere Mäuse (oder Ratten?) sind über die Strasse gerannt und unter die Jungbäume geklettert. Teils haben sie orientierungslos/benommen (vergiftet?) gewirkt . Viele Passanten haben Bilder gemacht, ich war leider zu langsam. Sie sahen allerdings gepflegt aus? Eventuell wurden sie ausgesetzt?"
2682152,1249468,Handelt es sich um eine Tigermücke?
2677574,1248879,"Wahrscheinlich eine asiatische Tigermücke, Foto leider erst post morgen."
2682022,1244038,Ist dies eine Tigermücke?
2687060,1246249,Seit einigen Tagen treffen wir immer wieder einige der fotografierten Insekten auf unserer Terrasse und auch in unserer Wohnung. Handelt es sich hier um harmlose Insekten oder um Schädlinge? M.f.G.
2679374,1248320,Ist dieses eine Tigermücke? Erlegt Ende Oktober.
2681720,1248030,An der Staufacherstrasse 173 sind die Ratten zurück. Auf der kleinen Bauminsel hat es ein grosses Rattenloch. Dieses habe ich im Frühling schon gemeldet aber leider sind sie nun wieder zurück.
2683563,1251495,Guten Tag Seit mehr als 4 Jahren wohne ich an der Franklinstrasse und bis vor 2 Monaten hatte ich noch nie einen Schädling gesichtet. Jedoch habe ich in den letzten 2 Monaten 4 mal schon Ratten auf der Strasse gesehen. Einmal gar am hellichten Tag am Achermannweg und 3 mal Abends an der Franklinstrasse auf dem Trottoir . Ich würde es begrüssen wenn ein städtischer Kammerjäger mal die Gegend überprüft.
2683432,1247564,"Sehr geehrte Damen und Herren Ich habe diese Woche mehrmals Ratten auf die Graue Gasse und die Köngengasse. Das erfahre ich zum ersten Mal seit 2018, als ich hierher umgezogen bin. Jetzt werden anscheinend Wartungsarbeiten in dem Kanalotationsnetz in unserem Viertel durchgeführt. Ich wäre sehr froh, wenn diese für die Bekämpfung dieser Schädlinge ausgenutzt würden. Vielen Dank in Voraus für Ihre Hilfe."
2681789,1250414,Grosses Erdwespennest auf der Wiese zwischen Spielplatz 23 und Parkplatz Waidspital. Viele Wespen am Spielplatz
2682883,1248582,"Ausstellungsstrasse / Schule für Gestaltung; Grünfläche beim Teich. Am 01.04.21 (kein Scherz) habe ich mehrere (vermeintliche Fliegen) Tierchen an den Beinen bemerkt, welche sich nun wohl als Kriebelmücken erwiesen haben. Die Bisse sind gross, gerötet und jucken stark. Behandlung läuft. Da gleich daneben liegende Wasserbecken scheint eine Brutstätte für diese Mückenart zu sein, was ich hier ggf. zur Bekämpfung melden möchte."
2685390,1246264,Könnte das eine Tigermücke sein?
2680569,1246444,Betreffend Meldung Tigermücken. Ebenso bei den Schrebergärten des FGV Wiedikon an der Friesenbergstr. 291. Ausser das ist keine Tigermücke
2680256,1247298,Tigermücken Sichtung in der Stadt Zürich. Am Triemlifuessweg im Kreis 3.
2683710,1250545,Tigermücke? grösser als normale mücke
2682021,1250118,Tigermücke im Garten gesichtet
2683215,1251218,"Das dürfte eine Tigermücke sein, hier im Wäldchen. Nur zur Info."
2682125,1244644,Verdacht auf Tigermücke
2682500,1251323,"Sie flog zum Fenster rein gegen 23.30 und erst dachte ich es ist nur eine Schnake da sie auch so gross war. Als sie mich dann anflog und offensichtlich stechen wollte habe ich sie verfolgt und getötet.. aber sie ist soo riesig? Dues ist vor 2 Tagen im der Nacht von Freitag, 21.5. Auf Samstag 22.5. 2021 passiert. Also von wegen sie ist noch nicht angesiedelt...?"
2681963,1250483,Grosse Anzahl Tigermücken in Regenfässern und Brunnen entdeckt; evtl. auch Larven <br/>  <br/> Erfasstes Foto stammt nicht von Fundstelle.
2679922,1247916,Tigermücke entdeckt vor dem Denner beim Sackzelg
2682920,1243976,"Grüezi, ist das evtl eine Tigermücke? Gefunden bei uns im Wohnzimmer in Wollishofen. Und sollte man die überhaupt noch melden?"
2681004,1245760,Gemäss Bericht aus der Zeitung könnte es um eine Tigermücke handeln Foto aus dem 2019
2679229,1247911,Tigermücke?
2679539,1251180,Verdacht auf Tigermücke. Die Mücke hat auf jeden Fall die weißen Streifen an den Beinen und war sehr viel aggressiver als normale Mücken!
2682337,1243553,"Ich habe eine Mücke getötet, welche beim näheren Hinsehen einer Tigermücke ähnelt. Da diese meldepflichtig sind, möchte ich trotz der verquetschten Mücke dies weiterleiten."
2681698,1249885,"Ich glaube, dass dies eine Tiegermücke ist. Sie hat einen schwarz weiss gestreiften Körper und Beine. Ist ca 1 cm gross (durchmesser mit Beinen)"
2679403,1250738,Wespennest im Apfelbaum. Was tun? Danke!
2681993,1251429,Evtl Tiegermücke
2680686,1245615,"Tigermücke? Falls ja, was machen damit."
2679962,1248471,Evtl. Tiegermücke
2682381,1245026,Vielleicht eine Tigermücke
2682143,1243480,Evt. Tiegermücke: - sie ist kleiner als 5 Rappen Stück - hat 5 weisse Ringe Beine hinten - ist schwarz <br/>  <br/> Habe das Foto auf dem Balkon gemacht.
2681797,1251098,Tigermücken bei der Vita-Parcours Nummer 4. Kreuzung Reitweg/Ameisenweg.
2681793,1243749,Tigermücke in der Wohnung entdeckt
2679284,1247825,Tigermücke in der Wohnung gefangen.
2683932,1247835,"Tigermücke schwarz/weiss Universitätsspital Park, ich konnte die Mücke leider nicht fassen. Ehe ich ein Foto machen konnte, war sie weg!"
2685919,1245117,Tigermücke
2683437,1252210,Tigermücke an Gujerstrasse
2684690,1248660,"Wir sind uns nicht sicher, ob es sich hier um eine asiatische Tigermücke handelt. Fundort 8044, heute ca 13.30 Uhr. Leider können wir den Rücken nicht sehen, könnten die Mücke aber einschicken. Besten Dank und Gruss"
2687676,1245526,Täglich 15-20 Tigermücken gesichtet in den letzte 4 Tagen.
2679090,1250930,Tiegermücke Ist es überhaupt eine?
2680219,1247783,"Guten Tag. Können Sie mir mitteilen, was für ein Käfer es sich handelt."
2684724,1251233,Tigermückenplage. Stechen uns ohne es zu merken. habe probe parat. wohin kann ich diese senden?
2684238,1245441,Handelt es sich hier um eine Tigermücke?
2684238,1245441,Handelt es sich hier um eine Tigermücke?
2684857,1251746,Handelt es sich hierbei um eine Tigermücke?
2683572,1249727,Tigermücke
2680006,1245794,Bin nicht sicher ob das eine Tigermücke ist
2679997,1245785,Genaueres Foto gemacht. Tigermücke?
2682527,1244858,Tigermücke - Wollishofen
2683191,1252910,Ist das eine Tiegermücke?
2682988,1250435,"Eine Tigermücke gesehen. Bild gemacht unter dem Mikroskop (50x) zwei Tage später. Weisse Streifen waren nicht so klar unterschiedlich. Mücke war ziemlich gross. Ich glaube auch, dass es auf dem Kopf einen länglichen weissen Streifen hat."
2682177,1250713,Tigernückensichtung
2686833,1250829,"4-6 solcher Mini-Mücken habe ich heute früh in meiner Küche entdeckt. Meine erste Vermutung war, dass es sich um die Tigermücke handeln könnte. Eine Recherche im Netz verdichtete die Vermutung. 100% sicher bin ich mir nicht. Ein Stich wäre mir nicht bekannt. Die Tiere sind ca. 5mm lang und liessen sich mit der Mückenklatsche problemlos beseitigen. Kein Fluchtverhalten. Ein totes Exemplar könnte ich aufbewahren, um es einer Stelle zukommen zu lassen, welche das Tier identifizieren könnte."
2685794,1248902,Asian tiger mosquito.
2682848,1245209,"Ich und mein kleinerSohn wurden hier im Strandbad Mythenquai heute am 26.6.21 am Nachmittag zwischen 15-17:30 von vielen Tigermücken attackiert, von denen ich einige töten konnte ( schwarz weiss gestreifter Körper) - sorry habe es nicht geschafft sie einzusammeln oder ein Foto zu machen, aber sie flugen dort zahlreich herum, es scheint in diesen Büschen eine Brut zu geben. Kann gerne zeigen wo genau."
2684385,1246922,"Sehr geehrte Damen und Herren, <br/>  <br/> Ich vermute, dass wir immer wieder Tigermücken bei uns haben. Ich bin mir aber nicht sicher, ich hänge ein Foto von einer an, die ich gerade erschlagen habe. Bei Fragen oder Rückmeldungen erreichen Sie mich telefonisch oder per Email. Besten Dank und <br/>  <br/> Freundliche Grüsse"
2682122,1244635,"Guten Tag <br/>  <br/> Tut uns leid, aber wir wissen, dass 🦇🦇🦇 keine Schädlinge sind, aber es hat keine bessere Rubrik. Sie ist gestern Abend bei uns abgestürtzt. 😔 <br/>  <br/>"
2681344,1246798,Tigermücke in der Wohnung gefunden.
2681116,1246122,Tigermücke?
2680770,1248699,Tigermücke gefunden am 8. July 2021.
2681973,1247675,Tigermücke
2686045,1250756,Es handelt sich vermutlich hierbei um eine Tiegermücke
2680395,1248113,Tigermücke
2684503,1245573,Haben eine Tigermücke in der Wohnung gesichtet und getötet. Sie war etwas langsam.
2679807,1248954,"Verdacht auf asiatische Tigermücke. Zeitpunkt der Beobachtung: 13.07.2021 gegen 10.29 Uhr MESZ. Leider konnte ich die Mücke nur zerquetscht fotografieren. Und entsorgt habe ich sie auch, sorry."
2678888,1250973,"Hi, everyday for the last 2 weeks when walking past this location I have seen rats. There is a site with food rubbish (pictured) that they run into and then into the tree roots. The problem is becoming worse everyday it seems"
2681760,1246541,"Leider gibt es seit längerem extrem viele Kakerlaken auf der strasse, garage und im Hof Würde mich freuen wan dagegen endlich was gemacht wird. Danke"
2683489,1248729,Handelt es sich hierbei um eine Tigermücke? Sorry meine Kamera macht keine schärferen Bilder...
2682787,1249769,Eine Tiegermücke ?
2682399,1244901,Tigermücke (?)
2682156,1245346,Fundort: in der Wohnung! <br/>  <br/> Mit freundlichen Grüß
2680999,1252388,Tigermücke Mehrmals in der Wohnung
2679283,1248240,"Möglicherweise Tiegermücke. Leider kaum scharf fotografierbar. Bienenartiges Muster am Rücken, lange dünne Beine, kleiner schwarzer Kopf, leichtes Muster auf den Flügeln."
2683181,1248294,Tickermücke um 19.45 am 15.8.2021. Wiese zwischen Landesmuseum und Pavillon
2678250,1248975,Tigermücke
2683389,1250944,Asiatische Tigermücke gefunden
2682130,1242956,Tiefermückenfund
2686949,1246189,Vermutlich eine Tigermücke (sie hat meine kleine tochter gestochen)
2679456,1250869,"Tigermücke, gefunden am 10.8.21 ca. 21h"
2681314,1248209,Tigermücke?
2683065,1249868,Ist das allenfalls eine Tigermücke? Leider ist das Insekt zerquetscht. Sollen wir es Ihnen schicken?
2681689,1246299,"Schwarze kleine Tierchen, überall in der Wohnung <br/>  <br/> Was tun?"
2679737,1247844,Asiatische Tigermücke?
2684117,1253554,Mein Sohn hat diese Mücke bei uns in der Wohnung tot aufgefunden
2682280,1249741,Tigermücke im Garten gefunden.
2682512,1243077,"Guten Tag Ich habe heute Abend 3 solcher Mücken bei uns im Haus gefunden. Nun würde ich gerne wissen, ob es sich um Tigermücken handelt? Vielen Dank und freundliche Grüsse"
2682616,1246804,"Mögliche Tigermücke. Sie hat weisse Ringe an den Beinen und ist kleiner als ein 5-Rappenstück. Sie landete zweimal auf meinem Arm, ich schüttelte sie ab, aber sie verfolgte mich weiter durch das Haus. Also musste ich sie leider töten, bevor sie zustechen konnte."
2682468,1245718,Asiatische Tigermücke in Rieter park
2684087,1249550,Fundort Tigermücke
2682341,1243956,Tigermücke?
2683762,1248247,Mehrere Tigermücken heute den 16.10.2021 ca. um 18:30 gesehen
2680997,1248317,Zug Backöfen Display ist kaputt und es tönt komisch.
2685096,1246809,Ich habe heute Abend an der Bergstrasse 8032 Zürich eine Tigermücke zerquetscht! Die schwarz-weisse Streifung war klar zu erkennen und wurde von mehreren anderen Beobachtern erkannt. <br/>  <br/> Ich habe es versäumt ein Foto von der Mücke zu machen.
2681508,1249890,Tigermücken
2680513,1247521,Käfer in wohnstube. Ca 1 cm gross.
2683781,1247803,Vermutlich Tigermücke beim ETH-Ausgang Karl-Schmid-Strasse entdeckt.
2682494,1245693,Viele Tigermücken gesichtet um 17:55 am 24. Oktober. Genauer Ort auf dem Google Maps Screenshot.
2682318,1251553,Tigermücke?
2682472,1245746,Asiatische Tigermücke - photo Is from September. A normal mosquito is beside it for comparison
2681450,1250000,"Tigermücke oder Buschmücke (weisse Ringe an Beinen) in Wohnung entdeckt 29.10.2021. Schon Ende August solche Mücke in Wohnung gehabt, leider war sie völlig verdrückt."
2683504,1251986,Ratten
2681641,1249662,Ich habe Ratten unter dem Holzrost beim Spielplatz neben dem Sandkasten gesehen.
2679045,1249023,"Am dienstagabend, 9.11.21 entdeckte ich eine ratte, die im gebüsch hinter der sitzbank raschelte."
2682955,1247966,Ratte überquert Trottoir und läuft entlang der Sihluferböschung. Distanz ca. 1 m.
2683367,1243275,"Tigermücken <br/>  <br/> Ich habe leider kein Foto von den mindestens vier Tigermücken gemacht, die ich im Laufe der letzten Monate erschlagen habe, die letzte am 8.11. in unserer Waschküche, die anderen bei mir in der Wohnung. Ich bin leider erst heute auf diese Möglichkeit zur Meldung hingewiesen worden. <br/>  <br/> (Bin übrigens etwas irritiert, dass da ""Fotos (Schaden & Ort des Schadens) (optional)"" steht, aber dann ein Foto doch zwingend ist?)"
2686558,1251295,"Guten tag <br/>  <br/> Seit ein paar wochen sehe ich dort immer wieder mäuse und seit neustem auch ratten, siehe foto <br/>  <br/> Beste grüsse"
2683460,1248190,Sichtung einer Ratte im Innenhof zwischen Gesundheitsdirektion und Restaurant Didis Frieden
2680793,1248730,Rattensichtung am 12. November um 5.30 Uhr morgens. Hinterhof Knüslistrasse 8 Anscheinend werden Lebensmittel aus Küchenfestern entsorgt (Reste liegen auf Wiese)
2683407,1251617,Guten Tag Am hellichten Tag bei Marktbetrieb habe ich hier eine Ratte die Strasse überqueren sehen. Es ist nicht das erste Mal. Bereits vor ein paar Monaten habe ich in der Gegend Ratten gesichtet.
2680098,1249094,Heute Morgen habe diesen Artikel im Tagblatt gelesen und gerade gestern Vormittag habe ich als ich auf dem 31er Bus (Richtung Farbhof) an der Haltestelle Letzipark gewartet habe zwei grosse Ratten gesehen. Ich frequentiere seit Jahren diese Haltestelle und bis jetzt war nie der Fall. Bedenken habe ich auch weil gerade dort sich das Restaurant Nüni befindet.
2683529,1251546,"Nach meiner Meldung von letzter Woche, habe ich heute früh wieder zwei Ratten am helllichten Tag auf der Strasse gesehen. Sie kamen aus den Baumtrogen dieser Allee hervor."
2678743,1251044,Ich habe hier gestern 3 Ratten im Gebüsch gesehen
2679123,1251004,Gruezi <br/>  <br/> Ich wollte mal melde das wir hier vor dem Haus eine Familie voller Ratten haben <br/>  <br/> Gezählt habe ich etwa 5 Stück
2680806,1245951,"Guten Tag, in meiner Wohnung treten gelegentlich diese Käfer auf. Was soll ich tun?"
2679316,1249692,Im niedrig Gebüsch unten den Bäumen habe ich ganz viele Ratten gesehen
2681048,1248400,"Haufenweise Brot wird auf den Wiesen und öffentlichen Plätzen verteilt, welches von den Vögeln natürlich nicht gegessen wird und somit verdaut. Immer mehr Mäuse und Ratten tauchen im Hinterhof auf, vor allem tote."
2681205,1247688,Ratten: Habe abends in der Baugrube der aktuellen Baustelle 3 Ratten gesehen vor der Zurlindenstrasse 219. Sie sind in eines der im Bau befindlichen Rohre verschwunden bevor ich ein Foto machen konnte.
2683006,1243549,Ein sehr wahrscheinliches Tiegermücken Aufkommen. Mehrere Mücken in den letzten Wochen erlegt.
2683161,1253884,"Tigermücke gesichtet, 23.4.2022"
2682759,1251003,Vermutlich eine Tigermücke gfunden. Ich habe sie gefangen und sie lebt noch. Kann ich sie irgendwo hinbringen?
2678812,1248735,"Wir sind uns nicht sicher, ob diese grosse Mücke eine Tigermücke ist."
2685958,1245817,"Wir vermuten, heute 2 Tigermücken gesehen zu haben"
2678816,1251320,Schnittlauch in einem kleinen Pflanztrog ist zum grossen Teil abgestorben. Beim Untersuch der Erde nur diese (~50 Stk.) walzenförmigen 'Puppen' gefunden. Können diese dem Schnittlauch so zugesetzt haben? Was sind das für Puppen? Mit bestem Dank für eine Antwort grüsst
2685956,1244936,Tigermücke
2684635,1247862,Hier wurde Futter für Ratten ausgebracht.
2677698,1249280,Tigermücken oder Buschmücken?
2678197,1252190,Auf Moskateller Salbei und Pfefferminz
2682248,1243880,Guten Tag Heute morgen gegen 9:30h wurde ich ich von einer meiner Meinung nach Tigermücke (s. Fotos) gestochen.
2680347,1247228,Tiegermücke im Zimmer gehabt.
2679602,1248764,"Tigermücke gefunden. Im Innenhof der Überbauung befindet sich ein ""Brunnen"" mit stehendem Wasser, läuft nicht. Hat ev. Zusammenhang."
2682619,1246273,"Habe eine Tiegermücke in der Wohnung zermatscht. War eindeutig schwarz/weiß gestreift. Bin Biologe, weiß wie die aussehen."
2683001,1244246,Tigermücke gesehen
2683672,1250745,Potentieller Tigermückenfund
2680406,1246811,"Tigermücken waren am Abend dort unterwegs, wir haben mehrere gesehen. Vorallem bei den Bänken auf dem Kiesplatz"
2685509,1247054,"Ich glaube ich habe im Gartenareal des Oberen Heuelsteig eine Tigermücke erwischt, die mich gestochen hat."
2682004,1243463,Tigermücke in Wollishofen?!
2682616,1244923,"Einige solcher Mücken in und um unsere Wohnung, schattiger Garten"
2678824,1247578,Tigermücke
2677236,1248871,Tigermücken bei Feuerstelle
2686958,1250967,Viele Tigermücken
2685135,1246890,Tigermücke
2677547,1248924,Tigermücke Altstetten
2681508,1246796,Tigermücken im Garten?
2682291,1243382,Guten Tag <br/>  <br/> Allenfalls Tigermücke.
2685490,1246214,Vermutliche Tigermücke in der Wohnung
2685490,1246214,Tigermücke in der Wohnung
2680971,1242037,Potentiell Tigermücke
2680898,1252515,Tigermücke
2682946,1252685,Gartenbeet wurde die Tigermücke gesichtet
2678715,1252220,Patenttirler tigermücke
2682477,1244904,Riesenmücke bei uns im Haus - Tigermücke?
2681971,1250075,Tigermücke bei uns im Haus ?
2687117,1246058,"Tigermücke? Gefangen am 25.5.2022, mittags"
2682045,1249978,Tigermücke
2684686,1246691,Tigermücke
2684570,1250860,"Ich glaube, das ich verscheidene tigermücken im Haus gehabt habe in den letzten Tagen."
2682232,1247281,"Disclaimer: the photo attached is just a photo of the basement where the laundry room is located (during the recent renovations). <br/>  <br/> Hi there, <br/>  <br/> Yesterday, while I was doing my laundry, I found a rat in the basement in the common washer room. <br/>  <br/> Unfortunately, I didn't have my phone with me to take photos plus the rat was fast. I don't really mind rats, and my dog was intrigued by its smell & and found its poop. <br/>  <br/> However, I do think the room is too dirty, is never cleaned and inappropriate for laundry. <br/>  <br/> Please communicate in English with me since I'm learning German and I don't know enough yet. <br/>  <br/> Thanks!"
2678282,1248764,"Sehr geehrte Dame oder Herr, bei uns treten immer wieder Tigermücken auf. Besten Dank im Voraus für ihre Bemühungen."
2678321,1248956,"Sehr geehrte Dame oder Herr, hier treten immer wieder Tigermücken auf. Besten Dank für ihre Bemühungen."
2679418,1248316,Sehr hohe Anzahl von Tigermücken. Es scheint jedes Jahr mehr zu geben. Aggressives Verhalten stechen sofort.
2685175,1244802,Vermutlich eine Tigermücke (soweit ich ds beurteilen kann)
2678830,1248225,"Ich denke, es handelt sich um eine Tigermücke, sie hat mich gestochen (9 uhr morgens)"
2681008,1247548,Bienennest auf kleinem Klettertum auf Aemtlerspielplatz (Nr 67)
2684735,1251238,Tigermückenplage. Bereits die 10 Mücke in diesem Jahr. <br/>  <br/> Letstes Jahr haben wir 9 durch den gesamten Sommer gefangen
2684168,1249860,"Möglicherweise ein vermehrtes Vorkommen von Tigermücken oder japanische Buschmücken. Es sah aus, als hätten sie eher 5 statt 3 weisse Ringe an den Beinen. Der Kopf war leider nach der Jagd nicht mehr gut sichtbar. Ich bin Laie, denke aber, das sollte sich jemand ansehen, der das bestimmen - und gegebenermassen entwarnen kann."
2681754,1245478,Tigermücke
2679934,1245666,Tigermückensichtung
2679794,1251046,Tigermücke?
2682091,1244780,Tigermücke
2682263,1244331,"Guten Tag, Ich habe heute Morgen eine Tigermücke in unserem Bad gesichtet und eingefangen. Beste Grüsse"
2682358,1245380,Tiegermücke in der Küche um 21.00 Uhr 7. Juni 2022 gesichtet und getötet.
2680061,1246395,"Die Stechmücke ist circa 0.5cm gross. (kleiner als ein 5 Rappengeldstück) Können sie mir rückmelden, ob es eine asiatische Steckmücke ist? Das war nicht das erste Mal. Ich habe das Gefühl meistens sehe ich diese Art von Mücke hier."
2678323,1249001,"Tigermücke gefunden - vergessen Foto zu machen, es war aber definitiv eine."
2678324,1248997,"Es tut mir sehr leid, ich muss meine Meldung von 22:25 in einer ähnlichen location leider korrigieren. Es handelte sich doch nur um eine Japanische Buschmücke. Ich bitte um Entschuldigung!"
2684285,1247307,Tigermücke bei uns im Garten. Wir haben schon mehrere gefunden.
2680461,1247559,"Sehr geehrte Damen und Herren <br/>  <br/> An der strasse  haben meine Partnerin und ich möglicherweise eine Tigermücke entdeckt, siehe angefügte Bilder. Eingefangen habe ich sie. Etwas übereifert habe ich aber leider unseren Delinquent bereits „liquidiert“, daher kann ich Ihnen keine Proben mehr schicken. (Hoffe zwar nicht auf eine zweite Gelegenheit, aber würde Ihnen in Zukunft eine „lebend Probe“ schicken)."
2678497,1248955,Vermutlich eine japanische Buschmücke
2679487,1247871,Test
2678820,1251311,"Guten Tag, Habe dieses mückenähnliche Insekt auf unserer Terrasse gefangen. Anhand des mm-Papiers sieht man, dass die Größe etwa die doppelte ist, wie bei einer normalen Stechmücke. Ist das eine neue Stechmücken-Art? Freundliche Grüße"
2682532,1250473,Hier wurde am Waldrand eine Tigermücke entdeckt
2680121,1248682,Tigermücke beschtigt.
2685264,1245824,Guten Abend Gerne möchten wir Sie fragen ob das eine Tigermücke ist. Besten Dank Freundliche Grüsse
2683146,1243251,"Gestern Mittwoch, 15.6., als ich nach Hause kam, überraschte mich obige im Bild fotografierte Mücke im Treppenhaus, als sie sich auf meinem Oberschenkel niederliess. Bevor sie mich noch stechen konnte, klatschte ich sie reflexartig zu Tode. Da die Mücke sowohl an Beinen wie Körper weiss-schwarz gestreift ist, weiss ich nicht, ob das allenfalls eine Tigermücke sein könnte und schreibe Sie deswegen an."
2682087,1244785,"Tigermücke? gefunden auf unserem Balkon am Mittwoch,15. Juni 2022 um 17:35h."
2686882,1246214,Habe diese Mücke in meinem Bad gefunden - ist das eine Tiegermücke? Falls ja habe ich bereits vor 1 Woche an der Steinbrüchelstrasse eine gleiche Mücke erwischt.
2686660,1250462,Tigermücke? War im Badzimmer.
2685853,1247907,"Wurde schmerzhaft gestochen von dieser haarigen Raupe. Eichenprozessionsspinner? Allergisch, giftig?"
2682612,1246276,"Warscheinlich Tiegermücke, kriege leider keine besseren Fotos hin, hab sie hier aber rumliegen falls ihr sie haben wollt. Hat auf jeden Fall 5 weisse Streifen auf den Hinterläufen und mindestens einen hellen Streifen auf dem Brustrücken (siehe letztes Foto)."
2681567,1250156,"Asiatische Tiegermuecke. Kam um 13:30 zum Fenster hereingeflogen. zaehle fuenf, duenne, weisse ringe an den Hinterbeinen. Groesse der gewoehnlichen Stechmuecke"
2686231,1245755,Tigermücke gesichtet
2681047,1245425,Ist das eine Tigermücke?
2680643,1246626,Ist das die Tigermücke?
2683529,1251543,"Wie bereits im letzten Jahr habe ich heute Abend wieder Ratten gesehen, die vom linken Baumtrog (siehe Foto) die Strasse nach rechts in den Baumtrog überqueren. Bitte um Schädlingsbekämpfung."
2679698,1251148,Tigermücke
2684315,1251373,"Wir sind nicht sicher, ob es sich hierbei um eine Tigermücke handelt. Sie hat leichte schwarzweisse Streifen am Rücken, aber keine 5 Ringe an den Hinterbeinen."
2682571,1253082,"Wir waren am Sonntag spazieren im Wäldchen bei der Schwandenholzstrasse und haben fort mehrere Tigermücken rumfliegen gesehen. <br/>  <br/> Die Muggen hatten alle auffallend, schwarz weiss gestreiften „Beine“."
2680591,1252815,Ist dies eine Tigermücke?? Hab sie eben getötet. (6. Juli 2022)
2681759,1246542,"Guten Tag Habe schon mehrere Male gemolden, leider wird nichts gemacht. Es hat extrem viele Kakerlaken die am abend rauskommen. Da die auch ins Restaurant und Inden Coop gehen finde ich es erstens unhigjenisch zweitens ist es ekelhaft. Es gibt extrem viele jeden Abend. Danke"
2685107,1246555,Zebramücke im Kluspark
2681297,1245955,Tigermücke? Soll ich sie per Post schicken?
2682610,1249622,Ist das eine Tigermücke?
2678204,1252185,Einmal im Jahr - heute - tummeln sich Hunderte/Tausende fliegene Ameisen auf unserer Südterasse. - wie kommt das? - wie kann man sie natürlich abwehren?
2684096,1253659,(Vermutlich) Tigermücke in Liegenschaft gesichtet.
2682633,1243984,Asiatische Tiegermücke gesichtet. Ist nicht die erste. Alle Erkennungsmerkmale treffen zu.
2684119,1248417,"Wir sind uns nicht sicher, ob es sich hier um eine Tigermücke handelt. Wir haben sie in unserer Wohnung erwischt."
2682749,1245528,Tigermücke?
2680348,1247120,Tigermücke
2680909,1249937,Dead Tiger Mosquito in my apartment.
2680909,1249937,Dead Tiger Mosquito in my apartment.
2685344,1247138,"Tigermucke im Kempterstrasse 8032, Zürich"
2679089,1249048,"Ratten auf dem Lindenplatz, weil es Leute gibt die Sackweise die Tauben füttern. Zieht es die Ratten an - es wurden diverse gesichtet. Von einer ein Foto gemacht beim Nüsse und Mais fressen bei den Linden Bäumen direkt bei Sitzbänken."
2686291,1245913,Könnte es sich hierbei um eine Tiegermücke handeln?
2680667,1250292,Tiegermücke - tot
2682055,1243972,"An unseren Chilis ( im Topf, im Freien) hat es plötzlich eine Ansammlung der abgebildeten Käfer. Sind das Schädlinge? Wie sollen wir diese bekämpfen? Besten Dank u freundliche Grüsse"
2679689,1248813,Schon vor den Sommerferien Ratten im Gebüsch und bei diesem Loch bei der Treppe beobachtet. Und heute wieder.
2681596,1251783,Ist das eine Tigermücke? bei uns in der Wohnung zerquetscht
2680330,1253014,"Letzte Nacht habe ich beobachtet wie ein Morchelkäfer an der Ecke der Wanddeckemeines Schlafzimmers mit ihrem hinterteil in die Knopfteil- Spalte des Vorhangsschlitzes herumwedelte. Nun befürchte ich das es bereits aus dessen beobachtung ihre Eiablage in diese Spalte klebte, da es abwärtshängen ist und kroch. Was kann ich tun, um dieses gefangene Insekt an anderer Stelle forttreiben. Und wie kann ich sicher sein; wenn, das nur dort die Eiablage stattfand und nicht noch ein zweites herumkriecht? Danke"
2682186,1251849,Vermutlich habe ich eine Nosferatu-Spinne im Haus entdeckt.
2682184,1251860,Vermutlich habe ich eine Nosferatu-Spinne im Haus entdeckt.
2679046,1247728,"Guten Tag Wir haben in unserer Wohnung eine Mücke gefunden, die wie die asiatische Tigermücke aussieht. Anbei das Foto. Wir haben die Mücke aufbewahrt, sollte Sie sie begutachten wollen. <br/>  <br/> Freundliche Grüsse Markus Ineichen"
2682734,1244223,"Guten Tag, ist das eine Nosferatu-Spinne? Wir wohnen in einem alten Haus und es gibt sehr viele grosse Spinnen, die gegen die Herbsttage aus dem Keller kommen. Wie kann ich verhindern, dass die Spinnen in die Wohnung kommen? Muss unser Haus auf Schädlinge/Nester durchsucht werden? Es ist die zweite Spinne dieser Art, die aus dem Keller kommt."
2679705,1248968,Tigermücke
